Name,BSE Code,NSE Code,Industry,Market Capitalization
Reliance Industr,500325,RELIANCE,Refineries & Marketing,1953544.76
HDFC Bank,500180,HDFCBANK,Private Sector Bank,1460869.98
Bharti Airtel,532454,BHARTIARTL,Telecom - Cellular & Fixed line services,1198730.53
TCS,532540,TCS,Computers - Software & Consulting,1082098.32
ICICI Bank,532174,ICICIBANK,Private Sector Bank,998785.18
SBI,500112,SBIN,Public Sector Bank,990999.57
Infosys,500209,INFY,Computers - Software & Consulting,616351.53
Bajaj Finance,500034,BAJFINANCE,Non Banking Financial Company (NBFC),600127.04
Larsen & Toubro,500510,LT,Civil Construction,559034.3
Hind. Unilever,500696,HINDUNILVR,Diversified FMCG,553106.12
Life Insurance,543526,LICI,Life Insurance,531332.51
Maruti Suzuki,532500,MARUTI,Passenger Cars & Utility Vehicles,473254.73
M & M,500520,M&M,Passenger Cars & Utility Vehicles,444213.35
HCL Technologies,532281,HCLTECH,Computers - Software & Consulting,436765.43
Axis Bank,532215,AXISBANK,Private Sector Bank,413378.78
Sun Pharma.Inds.,524715,SUNPHARMA,Pharmaceuticals,408606.66
Kotak Mah. Bank,500247,KOTAKBANK,Private Sector Bank,406703.92
ITC,500875,ITC,Diversified FMCG,388656.69
UltraTech Cem.,532538,ULTRACEMCO,Cement & Cement Products,376498.08
Titan Company,500114,TITAN,"Gems, Jewellery And Watches",364434.43
Adani Ports,532921,ADANIPORTS,Port & Port services,361952.34
NTPC,532555,NTPC,Power Generation,355819.2
O N G C,500312,ONGC,Oil Exploration & Production,338597.69
Bajaj Finserv,532978,BAJAJFINSV,Holding Company,319649.85
Bharat Electron,500049,BEL,Aerospace & Defense,316512.39
JSW Steel,500228,JSWSTEEL,Iron & Steel,303471.54
Adani Power,533096,ADANIPOWER,Integrated Power Utilities,296095.24
Eternal,543320,ETERNAL,E-Retail/ E-Commerce,276726.23
Hind.Aeronautics,541154,HAL,Aerospace & Defense,269893.76
Bajaj Auto,532977,BAJAJ-AUTO,2/3 Wheelers,269751.91
Power Grid Corpn,532898,POWERGRID,Power - Transmission,269159.47
Coal India,533278,COALINDIA,Coal,266259.86
Hindustan Zinc,500188,HINDZINC,Zinc,258122.87
Adani Enterp.,512599,ADANIENT,Trading - Minerals,258068.78
Vedanta,500295,VEDL,Diversified Metals,256208.62
Avenue Super.,540376,DMART,Diversified Retail,256080.39
Nestle India,500790,NESTLEIND,Packaged Foods,251568.11
I O C L,530965,IOC,Refineries & Marketing,248252.11
Tata Steel,500470,TATASTEEL,Iron & Steel,247063.89
Wipro,507685,WIPRO,Computers - Software & Consulting,244701.42
Asian Paints,500820,ASIANPAINT,Paints,233300.76
Hindalco Inds.,500440,HINDALCO,Aluminium,210413.05
SBI Life Insuran,540719,SBILIFE,Life Insurance,202336.14
Eicher Motors,505200,EICHERMOT,2/3 Wheelers,197761.47
Grasim Inds,500300,GRASIM,Cement & Cement Products,194894.8
Interglobe Aviat,539448,INDIGO,Airline,190551.55
Shriram Finance,511218,SHRIRAMFIN,Non Banking Financial Company (NBFC),186643.65
TVS Motor Co.,532343,TVSMOTOR,2/3 Wheelers,176387.96
Hyundai Motor I,544274,HYUNDAI,Passenger Cars & Utility Vehicles,175882.37
Jio Financial,543940,JIOFIN,Investment Company,171471.07
LTIMindtree,540005,LTIM,Computers - Software & Consulting,168514.93
Tata Motors,544569,TMCV,Commercial Vehicles,167859.18
B P C L,500547,BPCL,Refineries & Marketing,165752.6
DLF,532868,DLF,"Residential, Commercial Projects",163568.42
Divi's Lab.,532488,DIVISLAB,Pharmaceuticals,163020.03
Tech Mahindra,532755,TECHM,Computers - Software & Consulting,161314.71
Adani Green,541450,ADANIGREEN,Power Generation,159348.38
HDFC Life Insur.,540777,HDFCLIFE,Life Insurance,155443.89
ICICI AMC,544658,ICICIAMC,Asset Management Company,153233.7
Bank of Baroda,532134,BANKBARODA,Public Sector Bank,150538.64
I R F C,543257,IRFC,Financial Institution,149973.48
Pidilite Inds.,500331,PIDILITIND,Specialty Chemicals,149614.48
Varun Beverages,540180,VBL,Other Beverages,147847.96
Tata Capital,544574,TATACAP,Non Banking Financial Company (NBFC),146935.98
Trent,500251,TRENT,Speciality Retail,146840.58
Cholaman.Inv.&Fn,511243,CHOLAFIN,Non Banking Financial Company (NBFC),145398.51
Muthoot Finance,533398,MUTHOOTFIN,Non Banking Financial Company (NBFC),143665.95
Punjab Natl.Bank,532461,PNB,Public Sector Bank,142627.42
